Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Highest education level completed,Political affiliation (uk),Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
691513bb40fe63382560d197,6159ffae3dec28bbdc15a715,AWAITING REVIEW,Not Applicable,2025-11-12T23:09:53.164000Z,2025-11-12T23:45:50.560000Z,,2025-11-12T23:45:50.989983Z,2158.0,CBN3YT5G,230,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Left,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6915141be0342b9243b6b170,674a0461b10836f07aa6d857,AWAITING REVIEW,Not Applicable,2025-11-12T23:11:28.844000Z,2025-11-12T23:33:31.187000Z,,2025-11-12T23:33:31.649384Z,1323.0,CBN3YT5G,1015,Man (including Trans Male/Trans Man),High school diploma/A-levels,Right,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
691514d571fbbc0d279e8d1d,6743ec96f8db5a6a6c3678bb,AWAITING REVIEW,Not Applicable,2025-11-12T23:14:34.531000Z,2025-11-12T23:33:02.725000Z,,2025-11-12T23:33:03.156584Z,1109.0,CBN3YT5G,342,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Left,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
691515df9fe4c277417ce4d2,66fdadbaa3ff5e732278ad0e,AWAITING REVIEW,Not Applicable,2025-11-12T23:19:02.040000Z,2025-11-12T23:43:53.851000Z,,2025-11-12T23:43:54.397875Z,1492.0,CBN3YT5G,1098,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Right,67,Male,White,United Kingdom,United States,United Kingdom,English,No,Unemployed (and job seeking)
691515f8f8521b8a92384bbb,676556ccb7aac9ede13d73c9,AWAITING REVIEW,Not Applicable,2025-11-12T23:19:20.120000Z,2025-11-13T00:03:56.409000Z,,2025-11-13T00:03:57.825710Z,2677.0,CBN3YT5G,677,Man (including Trans Male/Trans Man),Technical/community college,Right,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
691518c2ef3ed16630c8f0c1,6773f9ecbf8a434754bdbdab,AWAITING REVIEW,Not Applicable,2025-11-12T23:31:36.972000Z,2025-11-13T00:03:26.713000Z,,2025-11-13T00:03:27.496071Z,1910.0,CBN3YT5G,139,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Left,32,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
691518f1ebe6e723d19c1121,6266aba991affe86ae58ce07,AWAITING REVIEW,Not Applicable,2025-11-12T23:32:52.395000Z,2025-11-13T00:12:57.116000Z,,2025-11-13T00:12:57.539850Z,2405.0,CBN3YT5G,1107,Man (including Trans Male/Trans Man),Secondary education (e.g. GED/GCSE),Left,59,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
691519396112937cd669dfe1,5c6df5298c5fd30001b83926,AWAITING REVIEW,Not Applicable,2025-11-12T23:33:24.332000Z,2025-11-12T23:53:38.553000Z,,2025-11-12T23:53:38.994385Z,1215.0,CBN3YT5G,824,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Centre,31,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
6915194fbe66a163e00b5f58,6713a6a34b872f10e42e1502,AWAITING REVIEW,Not Applicable,2025-11-12T23:33:43.099000Z,2025-11-12T23:52:24.589000Z,,2025-11-12T23:52:24.995154Z,1122.0,CBN3YT5G,860,Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Left,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
69151b4f46a690e67820642c,66cdeb8a1b24ca4b3267616c,AWAITING REVIEW,Not Applicable,2025-11-12T23:48:01.697000Z,2025-11-13T00:05:48.775000Z,,2025-11-13T00:05:49.826669Z,1068.0,CBN3YT5G,1472,Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Centre,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
